PassengerId,Survived,Pclass,LastName,RestOfName
1,NO,3,Braund, Mr. Owen Harris
2,YES,1,Cumings, Mrs. John Bradley (Florence Briggs Thayer)
3,YES,3,Heikkinen, Miss. Laina
4,YES,1,Futrelle, Mrs. Jacques Heath (Lily May Peel)
5,NO,3,Allen, Mr. William Henry
6,NO,3,Moran, Mr. James
7,NO,1,McCarthy, Mr. Timothy J
8,NO,3,Palsson, Master. Gosta Leonard
9,YES,3,Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)
10,YES,2,Nasser, Mrs. Nicholas (Adele Achem)
11,YES,3,Sandstrom, Miss. Marguerite Rut
12,YES,1,Bonnell, Miss. Elizabeth
13,NO,3,Saundercock, Mr. William Henry
14,NO,3,Andersson, Mr. Anders Johan
15,NO,3,Vestrom, Miss. Hulda Amanda Adolfina
16,YES,2,Hewlett, Mrs. (Mary D Kingcome) 
17,NO,3,Rice, Master. Eugene
18,YES,2,Williams, Mr. Charles Eugene
19,NO,3,Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)
20,YES,3,Masselmani, Mrs. Fatima
21,NO,2,Fynney, Mr. Joseph J
22,YES,2,Beesley, Mr. Lawrence
23,YES,3,McGowan," Miss. Anna ""Annie"""
24,YES,1,Sloper, Mr. William Thompson
25,NO,3,Palsson, Miss. Torborg Danira
26,YES,3,Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)
27,NO,3,Emir, Mr. Farred Chehab
28,NO,1,Fortune, Mr. Charles Alexander
29,YES,3,O'Dwyer," Miss. Ellen ""Nellie"""
30,NO,3,Todoroff, Mr. Lalio
31,NO,1,Uruchurtu, Don. Manuel E
32,YES,1,Spencer, Mrs. William Augustus (Marie Eugenie)
33,YES,3,Glynn, Miss. Mary Agatha
34,NO,2,Wheadon, Mr. Edward H
35,NO,1,Meyer, Mr. Edgar Joseph
36,NO,1,Holverson, Mr. Alexander Oskar
37,YES,3,Mamee, Mr. Hanna
38,NO,3,Cann, Mr. Ernest Charles
39,NO,3,Vander Planke, Miss. Augusta Maria
40,YES,3,Nicola-Yarred, Miss. Jamila
41,NO,3,Ahlin, Mrs. Johan (Johanna Persdotter Larsson)
42,NO,2,Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)
43,NO,3,Kraeff, Mr. Theodor
44,YES,2,Laroche, Miss. Simonne Marie Anne Andree
45,YES,3,Devaney, Miss. Margaret Delia
46,NO,3,Rogers, Mr. William John
47,NO,3,Lennon, Mr. Denis
48,YES,3,O'Driscoll, Miss. Bridget
49,NO,3,Samaan, Mr. Youssef
50,NO,3,Arnold-Franchi, Mrs. Josef (Josefine Franchi)
51,NO,3,Panula, Master. Juha Niilo
52,NO,3,Nosworthy, Mr. Richard Cater
53,YES,1,Harper, Mrs. Henry Sleeper (Myna Haxtun)
54,YES,2,Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)
55,NO,1,Ostby, Mr. Engelhart Cornelius
56,YES,1,Woolner, Mr. Hugh
57,YES,2,Rugg, Miss. Emily
58,NO,3,Novel, Mr. Mansouer
59,YES,2,West, Miss. Constance Mirium
60,NO,3,Goodwin, Master. William Frederick
61,NO,3,Sirayanian, Mr. Orsen
62,YES,1,Icard, Miss. Amelie
63,NO,1,Harris, Mr. Henry Birkhardt
64,NO,3,Skoog, Master. Harald
65,NO,1,Stewart, Mr. Albert A
66,YES,3,Moubarek, Master. Gerios
67,YES,2,Nye, Mrs. (Elizabeth Ramell)
68,NO,3,Crease, Mr. Ernest James
69,YES,3,Andersson, Miss. Erna Alexandra
70,NO,3,Kink, Mr. Vincenz
71,NO,2,Jenkin, Mr. Stephen Curnow
72,NO,3,Goodwin, Miss. Lillian Amy
73,NO,2,Hood, Mr. Ambrose Jr
74,NO,3,Chronopoulos, Mr. Apostolos
75,YES,3,Bing, Mr. Lee
76,NO,3,Moen, Mr. Sigurd Hansen
77,NO,3,Staneff, Mr. Ivan
78,NO,3,Moutal, Mr. Rahamin Haim
